Date,Close
4/8/2020,2749.98
4/7/2020,2659.41
4/6/2020,2663.68
4/3/2020,2488.65
4/2/2020,2526.9
4/1/2020,2470.5
3/31/2020,2584.59
3/30/2020,2626.65
3/27/2020,2541.47
3/26/2020,2630.07
3/25/2020,2475.56
3/24/2020,2447.33
3/23/2020,2237.4
3/20/2020,2304.92
3/19/2020,2409.39
3/18/2020,2398.1
3/17/2020,2529.19
3/16/2020,2386.13
3/13/2020,2711.02
3/12/2020,2480.64
3/11/2020,2741.38
3/10/2020,2882.23
3/9/2020,2746.56
3/6/2020,2972.37
3/5/2020,3023.94
3/4/2020,3130.12
3/3/2020,3003.37
3/2/2020,3090.23
2/28/2020,2954.22
2/27/2020,2978.76
2/26/2020,3116.39
2/25/2020,3128.21
2/24/2020,3225.89
2/21/2020,3337.75
2/20/2020,3373.23
2/19/2020,3386.15
2/18/2020,3370.29
2/14/2020,3380.16
2/13/2020,3373.94
2/12/2020,3379.45
2/11/2020,3357.75
2/10/2020,3352.09
2/7/2020,3327.71
2/6/2020,3345.78
2/5/2020,3334.69
2/4/2020,3297.59
2/3/2020,3248.92
1/31/2020,3225.52
1/30/2020,3283.66
1/29/2020,3273.4
1/28/2020,3276.24
1/27/2020,3243.63
1/24/2020,3295.47
1/23/2020,3325.54
1/22/2020,3321.75
1/21/2020,3320.79
1/17/2020,3329.62
1/16/2020,3316.81
1/15/2020,3289.29
1/14/2020,3283.15
1/13/2020,3288.13
1/10/2020,3265.35
1/9/2020,3274.7
1/8/2020,3253.05
1/7/2020,3237.18
1/6/2020,3246.28
1/3/2020,3234.85
1/2/2020,3257.85
