Date,Close
4/8/2020,8090.9
4/7/2020,7887.26
4/6/2020,7913.24
4/3/2020,7373.08
4/2/2020,7487.31
4/1/2020,7360.58
3/31/2020,7700.1
3/30/2020,7774.15
3/27/2020,7502.38
3/26/2020,7797.54
3/25/2020,7384.29
3/24/2020,7417.86
3/23/2020,6860.67
3/20/2020,6879.52
3/19/2020,7150.58
3/18/2020,6989.84
3/17/2020,7334.78
3/16/2020,6904.59
3/13/2020,7874.88
3/12/2020,7201.8
3/11/2020,7952.05
3/10/2020,8344.25
3/9/2020,7950.68
3/6/2020,8575.62
3/5/2020,8738.59
3/4/2020,9018.09
3/3/2020,8684.09
3/2/2020,8952.17
2/28/2020,8567.37
2/27/2020,8566.48
2/26/2020,8980.78
2/25/2020,8965.61
2/24/2020,9221.28
2/21/2020,9576.59
2/20/2020,9750.97
2/19/2020,9817.18
2/18/2020,9732.74
2/14/2020,9731.18
2/13/2020,9711.97
2/12/2020,9725.96
2/11/2020,9638.94
2/10/2020,9628.39
2/7/2020,9520.51
2/6/2020,9572.15
2/5/2020,9508.68
2/4/2020,9467.97
2/3/2020,9273.4
1/31/2020,9150.94
1/30/2020,9298.93
1/29/2020,9275.16
1/28/2020,9269.68
1/27/2020,9139.31
1/24/2020,9314.91
1/23/2020,9402.48
1/22/2020,9383.77
1/21/2020,9370.81
1/17/2020,9388.94
1/16/2020,9357.13
1/15/2020,9258.7
1/14/2020,9251.33
1/13/2020,9273.93
1/10/2020,9178.86
1/9/2020,9203.43
1/8/2020,9129.24
1/7/2020,9068.58
1/6/2020,9071.47
1/3/2020,9020.77
1/2/2020,9092.19
