Date,Close
4/8/2020,23433.57
4/7/2020,22653.86
4/6/2020,22679.99
4/3/2020,21052.53
4/2/2020,21413.44
4/1/2020,20943.51
3/31/2020,21917.16
3/30/2020,22327.48
3/27/2020,21636.78
3/26/2020,22552.17
3/25/2020,21200.55
3/24/2020,20704.91
3/23/2020,18591.93
3/20/2020,19173.98
3/19/2020,20087.19
3/18/2020,19898.92
3/17/2020,21237.38
3/16/2020,20188.52
3/13/2020,23185.62
3/12/2020,21200.62
3/11/2020,23553.22
3/10/2020,25018.16
3/9/2020,23851.02
3/6/2020,25864.78
3/5/2020,26121.28
3/4/2020,27090.86
3/3/2020,25917.41
3/2/2020,26703.32
2/28/2020,25409.36
2/27/2020,25766.64
2/26/2020,26957.59
2/25/2020,27081.36
2/24/2020,27960.8
2/21/2020,28992.41
2/20/2020,29219.98
2/19/2020,29348.03
2/18/2020,29232.19
2/14/2020,29398.08
2/13/2020,29423.31
2/12/2020,29551.42
2/11/2020,29276.34
2/10/2020,29276.82
2/7/2020,29102.51
2/6/2020,29379.77
2/5/2020,29290.85
2/4/2020,28807.63
2/3/2020,28399.81
1/31/2020,28256.03
1/30/2020,28859.44
1/29/2020,28734.45
1/28/2020,28722.85
1/27/2020,28535.8
1/24/2020,28989.73
1/23/2020,29160.09
1/22/2020,29186.27
1/21/2020,29196.04
1/17/2020,29348.1
1/16/2020,29297.64
1/15/2020,29030.22
1/14/2020,28939.67
1/13/2020,28907.05
1/10/2020,28823.77
1/9/2020,28956.9
1/8/2020,28745.09
1/7/2020,28583.68
1/6/2020,28703.38
1/3/2020,28634.88
1/2/2020,28868.8
